grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, ida, gap, pancake28, "7 12 15 13 3 5 22 26 23 18 20 16 1 6 8 19 21 10 4 9 25 11 14 0 24 27 2 17", 28, 28, 67119, 0.007197, 9.3259691538e+06
X, ida, gap, pancake28, "18 5 4 14 24 12 17 20 22 27 2 3 26 9 16 0 10 11 6 21 8 25 15 23 1 19 7 13", 26, 25, 14163, 0.001492, 9.4926273458e+06
X, ida, gap, pancake28, "24 1 15 12 22 27 13 2 10 19 14 3 17 23 21 9 0 6 18 7 20 11 16 26 5 25 4 8", 28, 28, 2913, 0.000280, 1.0403571429e+07
X, ida, gap, pancake28, "27 16 2 6 11 24 8 25 15 14 20 17 26 23 12 9 13 5 0 1 7 10 22 19 18 21 3 4", 25, 24, 17991, 0.002140, 8.4070093458e+06
X, ida, gap, pancake28, "16 13 7 6 12 4 10 8 0 24 2 18 17 21 25 19 11 5 14 15 26 23 9 1 27 22 3 20", 26, 25, 79106, 0.008355, 9.4681029324e+06
X, ida, gap, pancake28, "19 17 22 25 26 10 5 13 23 0 16 21 3 24 15 7 27 1 14 20 6 4 9 12 11 2 8 18", 27, 26, 61416, 0.006497, 9.4529782977e+06
X, ida, gap, pancake28, "27 22 24 4 1 14 17 12 21 20 23 2 8 13 25 16 7 9 3 10 26 11 6 15 0 19 18 5", 27, 26, 264423, 0.027795, 9.5133297356e+06
X, ida, gap, pancake28, "25 3 9 0 4 21 19 15 23 17 6 18 11 24 16 7 20 8 13 14 12 1 26 2 10 27 5 22", 27, 27, 29413, 0.003396, 8.6610718492e+06
X, ida, gap, pancake28, "5 27 23 20 17 24 14 4 9 6 15 2 13 1 12 25 8 19 3 21 7 10 26 11 0 18 22 16", 29, 28, 244292, 0.025486, 9.5853409715e+06
X, ida, gap, pancake28, "2 26 17 23 3 16 20 15 12 7 13 19 24 11 5 10 21 27 1 9 0 25 14 6 22 8 18 4", 28, 28, 30000, 0.002924, 1.0259917921e+07
X, ida, gap, pancake28, "19 10 18 21 4 8 25 7 24 16 15 14 2 11 23 1 0 12 3 26 17 22 13 6 27 9 5 20", 26, 25, 222892, 0.023830, 9.3534200587e+06
X, ida, gap, pancake28, "27 13 21 26 14 11 16 2 7 9 4 10 8 25 6 24 17 20 15 22 23 12 5 3 19 18 1 0", 25, 25, 1773, 0.000207, 8.5652173913e+06
X, ida, gap, pancake28, "1 11 21 14 16 17 27 18 19 9 8 12 6 25 0 15 5 13 20 26 3 4 24 22 10 7 2 23", 25, 24, 34732, 0.004048, 8.5800395257e+06
X, ida, gap, pancake28, "13 27 7 16 24 25 8 12 0 26 22 14 2 15 4 23 9 21 19 18 1 17 20 6 5 3 10 11", 24, 24, 2176, 0.000264, 8.2424242424e+06
X, ida, gap, pancake28, "16 11 8 9 12 10 18 24 5 20 22 0 15 19 1 17 3 13 21 6 7 4 26 23 2 14 25 27", 25, 25, 9418, 0.001049, 8.9780743565e+06
